TeamNumber,MemberID,Name,Email,Game,Role,Skill,Score,PersonalityType
13,P024,Participant_24,user24@university.edu,DOTA 2,Supporter,7,63,Thinker
13,P072,Participant_72,user72@university.edu,DOTA 2,Attacker,5,61,Thinker
13,P077,Participant_77,user77@university.edu,FIFA,Attacker,2,89,Balanced
13,P095,Participant_95,user95@university.edu,CS:GO,Coordinator,2,84,Balanced
14,P052,Participant_52,user52@university.edu,FIFA,Attacker,2,99,Leader
14,P060,Participant_60,user60@university.edu,CS:GO,Coordinator,4,57,Thinker
14,P092,Participant_92,user92@university.edu,Basketball,Attacker,7,70,Balanced
14,P057,Participant_57,user57@university.edu,CS:GO,Attacker,7,54,Thinker
14,P011,Participant_11,user11@university.edu,Basketball,Strategist,8,84,Balanced
15,P091,Participant_91,user91@university.edu,FIFA,Strategist,10,98,Leader
15,P096,Participant_96,user96@university.edu,DOTA 2,Strategist,8,56,Thinker
15,P042,Participant_42,user42@university.edu,DOTA 2,Attacker,7,53,Thinker
15,P098,Participant_98,user98@university.edu,CS:GO,Defender,5,83,Balanced
15,P080,Participant_80,user80@university.edu,Basketball,Coordinator,1,82,Balanced
16,P058,Participant_58,user58@university.edu,Valorant,Defender,3,95,Leader
16,P078,Participant_78,user78@university.edu,FIFA,Defender,6,51,Thinker
16,P021,Participant_21,user21@university.edu,FIFA,Strategist,4,64,Thinker
16,P047,Participant_47,user47@university.edu,DOTA 2,Attacker,10,78,Balanced
16,P059,Participant_59,user59@university.edu,DOTA 2,Supporter,4,79,Balanced
